Census_ID,Long,Lat,,,
305865616626903,74.04866,15.27156,,,
305865616626898,73.92887,15.27344,,,
305865618627021,74.11594,15.27582,,,
305865618626986,74.1355,15.27776,,,
305865616803249,73.96876,15.28495,,,
305865616626926,74.02166,15.2853,,,
305865616626899,73.93892,15.28594,,,
305865616626902,74.05723,15.28792,,,
305865618626985,74.11822,15.2902,,,
305855614626864,74.08253,15.29569,,,
305865616626900,73.93773,15.29645,,,
305865616626895,73.91928,15.29864,,,
305865616626925,73.98389,15.30898,,,
305865616626891,73.92707,15.31168,,,
305865616626924,73.94789,15.31495,,,
305865616626901,74.00391,15.316735,,,
305865616626892,73.91665,15.31703,,,
305855614626863,74.03922,15.32666,,,
305865616626893,73.90988,15.3267,,,
305865616626890,73.98866,15.32931,,,
305865615626884,73.90341,15.336617,,,
305865616626923,73.94015,15.34482,,,
305865616626889,73.97332,15.34952,,,
305865616626888,73.92512,15.3599,,,
305865615626877,73.90379,15.36077,,,
305855614626861,74.07902,15.36167,,,
305855614626872,74.01342,15.361834,,,
305865615626878,73.8856,15.3664,,,
305865615626880,73.8453,15.367338,,,
305865615626879,73.85541,15.37324,,,
305855614626858,73.98637,15.374594,,,
305855614626857,73.97985,15.381594,,,
305855614626856,73.96617,15.38381,,,
305865615626887,73.91622,15.38418,,,
305855614626859,74.0338,15.385789,,,
305865615803248,73.8176,15.38595,,,
305865615626876,73.93755,15.386521,,,
305865615626886,73.88394,15.38675,,,
305855614626871,73.99668,15.38807,,,
305865615626874,73.85132,15.38975,,,
305865618626971,74.12999,15.39158,,,
305855614626860,74.06654,15.3941,,,
305865615626885,73.82428,15.3996,,,
305855614803247,74.00986,15.4019,,,
305865618626970,74.09256,15.40704,,,
305855614626869,73.97476,15.40825,,,
305855614626870,74.01327,15.41841,,,
305855614626867,73.94163,15.4195,,,
305855611626735,73.90433,15.42407,,,
305855614626853,74.0388,15.42681,,,
305855614626854,73.9721,15.430871,,,
305855611626726,73.91917,15.43328,,,
305855614626868,73.9925,15.43503,,,
305855611626734,73.88637,15.43635,,,
305855614626873,74.07402,15.43667,,,
305855611626724,73.86496,15.43979,,,
305855611626725,73.90449,15.44204,,,
305855614626855,73.95703,15.44998,,,
305855611626722,73.88706,15.45224,,,
305855614626852,74.09295,15.45498,,,
305855613626841,74.11101,15.45515,,,
305855614626851,74.02772,15.45719,,,
305855611626723,73.87259,15.4585,,,
305855614626850,74.00207,15.45981,,,
305855614626849,73.97929,15.46217,,,
305855611626732,73.83954,15.46882,,,
305855611626718,73.93445,15.46978,,,
305855611803243,73.81793,15.47221,,,
305855612626764,74.06477,15.47271,,,
305855611626716,73.88928,15.47504,,,
305855614626848,73.96421,15.47593,,,
305855611626733,73.85759,15.47768,,,
305855611626731,73.84859,15.48136,,,
305855613626827,74.0953,15.48596,,,
305855614626847,73.96903,15.48731,,,
305855611626715,73.89964,15.4922,,,
305855611626729,73.94303,15.49251,,,
305855613626826,74.07808,15.49389,,,
305855611626730,73.8769,15.49414,,,
305855613626777,74.03786,15.49766,,,
305855614626843,73.96504,15.49848,,,
305855614626844,73.98731,15.50038,,,
305855613626824,74.13107,15.5019,,,
305855611626714,73.92117,15.50225,,,
305855613626823,74.14336,15.5051,,,
305855612626762,74.15801,15.50626,,,
305855613626822,74.15801,15.50626,,,
305855610626698,73.78979,15.50719,,,
305855610626699,73.81518,15.50731,,,
305855611626728,73.95023,15.50924,,,
305855611626713,73.93929,15.51006,,,
305855610626697,73.77137,15.511,,,
305855614626866,73.96179,15.51213,,,
305855613626814,74.11704,15.51582,,,
305855610626701,73.83678,15.51615,,,
305855613626810,74.05757,15.51749,,,
305855610626689,73.79731,15.52092,,,
305855614626865,73.96667,15.5212,,,
305855613626809,74.06815,15.52787,,,
305855610626700,73.81244,15.52838,,,
305855613626813,74.11588,15.53101,,,
305855613803246,74.14069,15.5315,,,
305855611626727,73.94404,15.532,,,
305855612626758,73.98114,15.5336,,,
305855613626815,74.16295,15.53362,,,
305855611626706,73.87735,15.5369,,,
305855610626702,73.85326,15.53758,,,
305855612626757,74.02071,15.5389,,,
305855610626695,73.76682,15.54439,,,
305855610626696,73.79061,15.54451,,,
305855613626806,74.11718,15.54589,,,
305855610626688,73.80661,15.54998,,,
305855613626842,74.05633,15.551,,,
305855610626703,73.8309,15.55517,,,
305855613626803,74.16479,15.55558,,,
305855612626756,73.95914,15.55577,,,
305855613626805,74.14904,15.55605,,,
305855610626674,73.7797,15.55811,,,
